C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.504049	0.237017	-1.436550	1.141856	-1.267060	-0.459252	-0.254955	1.124623	-1.347380	1.192125	0.515635	0.222585	-1.452159	1.202075	-1.021368	-0.492045	-0.248485	1.169635	-1.248772	1.300134	-0.033891	-0.050038	0.477643	0.516927	-1.047092	0.721557	-0.170469	0.404653	0.015612	1.133224	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.049584	-0.130486	-2.648657	0.241892	-0.060338	-0.206421	0.622828	0.695434	10.211815	1.000000	0.000000	0.000000	0.000000	
0.496736	0.229636	-1.490023	1.094051	-1.390365	-0.458683	-0.215263	1.019707	-1.420550	1.012561	0.514543	0.222504	-1.449693	1.201566	-1.052710	-0.481052	-0.249592	1.168903	-1.258161	1.295885	-0.149954	0.050830	-0.308178	-1.016135	-3.573404	0.609559	0.020176	-1.240230	-1.422209	-1.921134	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.052207	-0.131089	-2.651591	-0.008998	-0.056083	-0.163774	0.709063	0.604681	10.006318	1.000000	0.000000	0.000000	0.000000	
0.501686	0.213560	-1.469591	1.107715	-1.309923	-0.463415	-0.224004	1.040775	-1.390793	0.953871	0.512992	0.223247	-1.453489	1.186682	-1.108560	-0.477061	-0.247438	1.151114	-1.281171	1.267385	-0.182498	0.006246	-1.196355	-1.584707	-5.375432	-0.106546	0.349818	-2.758696	-3.059554	-4.201701	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.052047	-0.131513	-2.653661	-0.069585	-0.050664	-0.059876	0.329421	1.505542	9.107175	1.000000	0.000000	0.000000	0.000000	
0.512718	0.228238	-1.446465	1.119926	-1.185693	-0.483897	-0.246289	1.082455	-1.339971	1.072134	0.512100	0.223081	-1.465250	1.164803	-1.169021	-0.478952	-0.243865	1.125067	-1.322826	1.214745	-0.004291	-0.080800	-0.276669	-0.947128	-2.872108	-0.230502	0.208300	-1.242498	-1.785560	-4.778722	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.051520	-0.132577	-2.653083	0.045783	-0.179690	0.183616	0.918634	0.924433	9.070318	1.000000	0.000000	0.000000	0.000000	
0.527192	0.249499	-1.435068	1.138373	-1.073713	-0.513245	-0.253902	1.121222	-1.279564	1.216150	0.512407	0.222506	-1.468765	1.151897	-1.199216	-0.482214	-0.241681	1.112467	-1.340753	1.158633	0.097281	-0.002264	-0.118397	-0.663523	-0.433775	-0.235918	0.004545	-0.075395	-0.558926	-1.929559	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.052110	-0.134536	-2.649265	0.126629	-0.037726	0.374829	1.346696	1.194806	10.032657	1.000000	0.000000	0.000000	0.000000	
0.542167	0.246303	-1.408456	1.187561	-0.965309	-0.542864	-0.273350	1.179616	-1.234552	1.370882	0.513922	0.223967	-1.470971	1.148177	-1.191684	-0.485096	-0.241486	1.111643	-1.335469	1.145182	0.128376	0.173092	-0.137467	0.090681	1.788680	-0.327190	-0.050727	0.470540	1.046831	0.892320	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.053522	-0.135350	-2.643901	0.112720	-0.038599	0.325330	0.942985	1.479691	9.728809	1.000000	0.000000	0.000000	0.000000	
0.544204	0.222852	-1.366879	1.224859	-0.890729	-0.533352	-0.296930	1.240514	-1.208423	1.520681	0.516115	0.226036	-1.470903	1.154121	-1.164248	-0.491610	-0.242473	1.117585	-1.323071	1.170675	0.257112	0.090591	0.342196	0.982676	3.410268	-0.447985	-0.177228	1.523169	1.699445	3.264798	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.053915	-0.136333	-2.640728	-0.033372	-0.070648	0.056047	0.953928	0.761504	9.076905	1.000000	0.000000	0.000000	0.000000	
0.540573	0.209831	-1.334556	1.233834	-0.905977	-0.505979	-0.307255	1.270661	-1.214134	1.609555	0.517499	0.225965	-1.461244	1.171401	-1.106295	-0.495457	-0.244997	1.142256	-1.292068	1.236842	0.078056	-0.116568	0.822877	1.616258	3.980714	-0.278604	-0.289914	1.366709	2.452164	5.135194	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.052791	-0.137259	-2.640901	-0.169398	-0.039989	-0.147983	2.054703	0.425828	10.106381	1.000000	0.000000	0.000000	0.000000	
0.524982	0.228212	-1.348326	1.210917	-1.042424	-0.481068	-0.296828	1.231085	-1.260817	1.509236	0.517655	0.223802	-1.452309	1.191530	-1.056318	-0.495911	-0.248660	1.163499	-1.262725	1.307097	-0.082925	-0.267563	1.010530	1.295756	2.938524	0.380427	-0.236043	1.640703	1.969095	5.563018	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.051016	-0.136899	-2.643753	-0.025643	0.092198	-0.210024	1.825718	-1.467575	9.861264	1.000000	0.000000	0.000000	0.000000	
0.506617	0.240374	-1.419342	1.133665	-1.244087	-0.462489	-0.272293	1.099866	-1.367387	1.306566	0.516522	0.221407	-1.435473	1.208763	-1.030038	-0.485752	-0.251913	1.177417	-1.242728	1.371215	-0.067616	-0.050021	0.812938	0.900784	0.091454	0.666177	-0.208555	0.621212	0.319047	2.671019	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.052835	-0.136903	-2.646646	0.243605	-0.137164	-0.188077	0.714489	0.649741	10.646803	1.000000	0.000000	0.000000	0.000000	
